date,filename,total_rain,rain_class,period,wet
2023-02-14 10:05:00,SMM00894_20230214_100500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 10:15:00,SMM00894_20230214_101500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 10:20:00,SMM00894_20230214_102000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 10:25:00,SMM00894_20230214_102500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 10:30:00,SMM00894_20230214_103000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 10:35:00,SMM00894_20230214_103500_0-0_no-rain_morning.wav,0.0,no-rain,morning,False
2023-02-14 10:40:00,SMM00894_20230214_104000_0-0_no-rain_morning.wav,0.0,no-rain,morning,False
2023-02-14 10:45:00,SMM00894_20230214_104500_0-2_no-rain_morning.wav,0.2,no-rain,morning,False
2023-02-14 10:50:00,SMM00894_20230214_105000_0-0_no-rain_morning.wav,0.0,no-rain,morning,False
2023-02-14 10:55:00,SMM00894_20230214_105500_0-0_no-rain_morning.wav,0.0,no-rain,morning,False
2023-02-14 11:00:00,SMM00894_20230214_110000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:05:00,SMM00894_20230214_110500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:10:00,SMM00894_20230214_111000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:15:00,SMM00894_20230214_111500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:20:00,SMM00894_20230214_112000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:25:00,SMM00894_20230214_112500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:30:00,SMM00894_20230214_113000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:35:00,SMM00894_20230214_113500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:40:00,SMM00894_20230214_114000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:45:00,SMM00894_20230214_114500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:50:00,SMM00894_20230214_115000_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 11:55:00,SMM00894_20230214_115500_0-0_no-rain_morning.wav,0.0,no-rain,morning,
2023-02-14 12:00:00,SMM00894_20230214_120000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:05:00,SMM00894_20230214_120500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:10:00,SMM00894_20230214_121000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:15:00,SMM00894_20230214_121500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:20:00,SMM00894_20230214_122000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:25:00,SMM00894_20230214_122500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:30:00,SMM00894_20230214_123000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:35:00,SMM00894_20230214_123500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:40:00,SMM00894_20230214_124000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:45:00,SMM00894_20230214_124500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:50:00,SMM00894_20230214_125000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 12:55:00,SMM00894_20230214_125500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:00:00,SMM00894_20230214_130000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:05:00,SMM00894_20230214_130500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:10:00,SMM00894_20230214_131000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:15:00,SMM00894_20230214_131500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:20:00,SMM00894_20230214_132000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:25:00,SMM00894_20230214_132500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:30:00,SMM00894_20230214_133000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:35:00,SMM00894_20230214_133500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:40:00,SMM00894_20230214_134000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:45:00,SMM00894_20230214_134500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:50:00,SMM00894_20230214_135000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 13:55:00,SMM00894_20230214_135500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:00:00,SMM00894_20230214_140000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:05:00,SMM00894_20230214_140500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:10:00,SMM00894_20230214_141000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:15:00,SMM00894_20230214_141500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:20:00,SMM00894_20230214_142000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:25:00,SMM00894_20230214_142500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:30:00,SMM00894_20230214_143000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:35:00,SMM00894_20230214_143500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:40:00,SMM00894_20230214_144000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:45:00,SMM00894_20230214_144500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:50:00,SMM00894_20230214_145000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 14:55:00,SMM00894_20230214_145500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:00:00,SMM00894_20230214_150000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:05:00,SMM00894_20230214_150500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:10:00,SMM00894_20230214_151000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:15:00,SMM00894_20230214_151500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:20:00,SMM00894_20230214_152000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:25:00,SMM00894_20230214_152500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:30:00,SMM00894_20230214_153000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:35:00,SMM00894_20230214_153500_0-6_moderate_afternoon.wav,0.6,moderate,afternoon,
2023-02-14 15:40:00,SMM00894_20230214_154000_0-6_moderate_afternoon.wav,0.6,moderate,afternoon,
2023-02-14 15:45:00,SMM00894_20230214_154500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:50:00,SMM00894_20230214_155000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 15:55:00,SMM00894_20230214_155500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:00:00,SMM00894_20230214_160000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:05:00,SMM00894_20230214_160500_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
2023-02-14 16:10:00,SMM00894_20230214_161000_0-0_no-rain_afternoon.wav,0.0,no-rain,afternoon,
