Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
NUSVC,0.7667672819862855,0.7409615993836626,0.8043984383662122,0.7425515660809778,0.78221627895639,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.7384615384615385,0.6829268292682927,0.8038277511961722,0.6847236992585275,0.7759131293188549,0.7429111531190926,0.8119834710743802,0.762196671031008,0.6978557504873294,0.7698924731182796,0.6381461675579323,0.7134798678950924,0.8548387096774194,0.7681159420289855,0.9636363636363636,0.9684648776409323
NUSVC,0.7565743128769747,0.7284358107894591,0.7962014601403851,0.7318563789152025,0.7901749786691672,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'mfcc_var', 'wav_detail_lvl3_std']",0.7659574468085106,0.6896551724137931,0.861244019138756,0.8010202476112968,0.7306501547987616,0.7298969072164948,0.731404958677686,0.697830240536574,0.7071090047393365,0.7550607287449392,0.6648841354723708,0.6971022884731154,0.8225806451612904,0.7391304347826086,0.9272727272727272,0.9647471380556825
NUSVC,0.751573729475475,0.7262350434037539,0.7892265605676807,0.7265087853323148,0.7744241303267719,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.7296703296703296,0.6747967479674797,0.7942583732057417,0.7057003120556485,0.7647058823529411,0.7276119402985075,0.8057851239669421,0.7500303289188203,0.6732090284592738,0.7489082969432315,0.6114081996434938,0.6747315006916023,0.8387096774193549,0.7536231884057971,0.9454545454545454,0.9672343796410168
NUSVC,0.7488598753370745,0.7204365158627117,0.7906391525727299,0.7150496562261268,0.7622270191019279,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'spec_kurtosis', 'mfcc_var']",0.7515657620041754,0.6666666666666666,0.861244019138756,0.6635483161314695,0.726530612244898,0.717741935483871,0.7355371900826446,0.7408413816557988,0.6718146718146718,0.7326315789473684,0.6203208556149733,0.6712387535698663,0.8455284552845529,0.7647058823529411,0.9454545454545454,0.973279625050577
NUSVC,0.7487687139176099,0.7167487056394658,0.7963855768492694,0.7219251336898396,0.7795803751358893,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var']",0.7569892473118279,0.6875,0.8421052631578947,0.7064082989447173,0.7381193124368048,0.7227722772277227,0.7541322314049587,0.7853848442874609,0.6782608695652174,0.740506329113924,0.6256684491978609,0.657098693561113,0.8217054263565892,0.7162162162162162,0.9636363636363636,0.9694296637502656
NUSVC,0.748387690375768,0.7216676963870301,0.786233997731324,0.7181054239877769,0.7732518161153137,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.7323340471092077,0.6627906976744186,0.8181818181818182,0.7511645407500628,0.7368421052631579,0.7222222222222222,0.7520661157024794,0.7364577117658603,0.6788461538461539,0.7369519832985386,0.6292335115864528,0.6410469546139346,0.8455284552845529,0.7647058823529411,0.9454545454545454,0.9643380573313973
NUSVC,0.7470792010066647,0.722094129467159,0.7849766309307542,0.7173414820473644,0.773312436385817,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.726457399103139,0.6835443037974683,0.7751196172248804,0.7145801577869512,0.755082284607938,0.7103825136612022,0.8057851239669421,0.7437359964681514,0.6587771203155819,0.7373068432671082,0.5953654188948306,0.6678503187163013,0.848,0.7571428571428571,0.9636363636363636,0.9670832725718642
NUSVC,0.7470537986984463,0.7195793216960265,0.7872467995462648,0.7188693659281895,0.7680252904450298,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_approx_std', 'spec_skew', 'mfcc_1', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl4_std']",0.7307692307692307,0.6602316602316602,0.8181818181818182,0.7343916204019179,0.7462387161484454,0.7251461988304093,0.768595041322314,0.7440604968232499,0.6724975704567542,0.7393162393162394,0.6167557932263814,0.6259316423730079,0.8387096774193549,0.7536231884057971,0.9454545454545454,0.9677174021819432
NUSVC,0.7455594162265446,0.7175284643077953,0.7844654325410025,0.7142857142857143,0.8023290054366432,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'wav_detail_lvl3_std']",0.7121535181236673,0.6423076923076924,0.7990430622009569,0.6840371869097202,0.7372793354101765,0.7411273486430062,0.7334710743801653,0.8042316972915993,0.6779661016949152,0.718562874251497,0.6417112299465241,0.7525090041640843,0.8548387096774194,0.7681159420289855,0.9636363636363636,0.9685381333811689
NUSVC,0.7437153504560635,0.7183321634994497,0.7952788509923325,0.7173414820473644,0.786905876724292,"kernel='poly', degree=3, nu=0.5","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'NDSI', 'wav_detail_lvl3_std']",0.7573221757322176,0.6728624535315985,0.8660287081339713,0.7876515551133239,0.7424242424242424,0.6853146853146853,0.8099173553719008,0.6965804690859306,0.6562173458725182,0.7929292929292929,0.5597147950089126,0.6985221288724421,0.8188976377952756,0.7222222222222222,0.9454545454545454,0.9648693538254713
