Algoritmo,F1_Macro,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
RF,0.7071384268211297,0.679499500880952,0.7700511305000468,0.6898395721925134,0.7966231274099385,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std']",0.7746478873239436,0.7603686635944701,0.7894736842105263,0.827430754377937,0.7023474178403756,0.6437177280550774,0.7727272727272727,0.7174685500860934,0.6353421859039836,0.7440191387559809,0.5543672014260249,0.69237734849457,0.7162162162162162,0.5698924731182796,0.9636363636363636,0.949215856681153
RF,0.7023877074554682,0.6728245042373858,0.7552663562162576,0.6638655462184874,0.7834701146147608,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_kurtosis', 'mfcc_var']",0.7472035794183445,0.7016806722689075,0.7990430622009569,0.8154282977235635,0.678030303030303,0.6258741258741258,0.7396694214876033,0.6979312524447108,0.5932721712538226,0.6928571428571428,0.5187165775401069,0.668601563162825,0.7910447761194029,0.6708860759493671,0.9636363636363636,0.9519193451279439
RF,0.7014712751341203,0.6717873821542103,0.7684338459176623,0.6829640947288006,0.8039041568498657,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std']",0.7706422018348624,0.7400881057268722,0.8038277511961722,0.8447855782311006,0.704119850187266,0.6438356164383562,0.7768595041322314,0.7288553513141429,0.6149068322981367,0.7333333333333333,0.5294117647058824,0.6841992485565003,0.7162162162162162,0.5698924731182796,0.9636363636363636,0.957776449297719
RF,0.6992565354889827,0.671428455316972,0.7506719673515339,0.6631016042780749,0.7917618203036126,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'spec_kurtosis', 'mfcc_var']",0.7368421052631579,0.706140350877193,0.7703349282296651,0.8293102394320679,0.6823308270676691,0.6258620689655172,0.75,0.712541239085918,0.5926680244399185,0.6912114014251781,0.5187165775401069,0.6740395741005897,0.7851851851851852,0.6625,0.9636363636363636,0.9511562285958748
RF,0.6987389588942765,0.6732645875024185,0.7571507006456346,0.6768525592055004,0.7986864041496771,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'NDSI', 'spec_kurtosis', 'mfcc_var']",0.7523809523809524,0.7488151658767772,0.7559808612440191,0.8333959358751114,0.693953488372093,0.6311336717428088,0.7706611570247934,0.716297852628391,0.6175869120654397,0.7242206235011991,0.5383244206773619,0.6836532417590317,0.7310344827586207,0.5888888888888889,0.9636363636363636,0.9613985863361745
RF,0.6981857652609031,0.6685072575573372,0.7534118627877424,0.6623376623376623,0.7775954088995374,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_1', 'spec_kurtosis']",0.7579908675799086,0.7248908296943232,0.7942583732057417,0.8135681800412341,0.6717123935666982,0.6195462478184991,0.7334710743801653,0.6822107415070344,0.5949238578680203,0.6910377358490566,0.5222816399286988,0.6596977662093988,0.7681159420289855,0.6385542168674698,0.9636363636363636,0.9549049478404827
RF,0.6969476504965753,0.6669746934314166,0.7621198261818865,0.6783804430863254,0.7943046491245804,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7627906976744186,0.7420814479638009,0.784688995215311,0.8401070550391468,0.6950757575757576,0.6416083916083916,0.7582644628099173,0.7161755139398644,0.6185147507629705,0.7203791469194313,0.5418894830659536,0.6766232484515999,0.7114093959731543,0.5638297872340425,0.9636363636363636,0.9443127790677105
RF,0.6934343866101871,0.6626204854325645,0.7632727144794411,0.6799083269671505,0.8072837176442842,"{'n_estimators': [100], 'max_depth': [10]}","['wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7798165137614679,0.748898678414097,0.8133971291866029,0.8471232352136238,0.6939163498098859,0.6426056338028169,0.7541322314049587,0.7513394641492299,0.6202661207778914,0.7283653846153846,0.5401069518716578,0.6831725514741607,0.6797385620915033,0.5306122448979592,0.9454545454545454,0.9474996197401224
RF,0.6933504836049408,0.6667984877727413,0.7598953935641242,0.6814362108479756,0.7962106929452035,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'wav_approx_std', 'spec_skew', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'mfcc_var', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7452830188679245,0.7348837209302326,0.7559808612440191,0.8243653602925881,0.6984126984126984,0.637137989778535,0.7727272727272727,0.719968630330279,0.6323377960865088,0.748780487804878,0.5472370766488414,0.6948864013764927,0.6973684210526315,0.5463917525773195,0.9636363636363636,0.945622379781454
RF,0.6931775644058922,0.664200622775766,0.7556709438886473,0.6760886172650878,0.7953369540086579,"{'n_estimators': [100], 'max_depth': [10]}","['mfcc_mean', 'wav_detail_lvl5_std', 'mfcc_1', 'NDSI', 'spec_kurtosis', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std']",0.7388235294117647,0.7268518518518519,0.7511961722488039,0.8226180259604982,0.6988636363636364,0.6451048951048951,0.762396694214876,0.7282946797758746,0.6188068756319515,0.7149532710280374,0.5454545454545454,0.6892733802203129,0.7162162162162162,0.5698924731182796,0.9636363636363636,0.9411617300779458
