Algorithm,F1_Macro_Global,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Best_Hyperparameters,Features_List,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC
LR,0.9212701433895122,0.9015791880387597,0.9489783951858256,0.9457601222307105,0.9638678425664101,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8542713567839196,0.7657657657657657,0.9659090909090909,0.9373110269323686,0.9307992202729045,0.9483614697120158,0.9138755980861244,0.9562612626531813,0.9787398531117124,0.9906103286384976,0.9671504965622613,0.9980312381136803
LR,0.919406214706083,0.8993883378430866,0.9478311420261886,0.9442322383498855,0.9632918265865152,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8514190317195326,0.7611940298507462,0.9659090909090909,0.9356789996438148,0.928849902534113,0.9463753723932473,0.9119617224880383,0.9561317235363314,0.9779497098646035,0.9905956112852664,0.9656226126814362,0.9980647565793997
LR,0.9182509042895096,0.8983779995142226,0.9465041838106854,0.9438502673796791,0.9627412038541578,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_2']",0.8480801335559266,0.7582089552238805,0.9621212121212122,0.93449997637921,0.9283276450511946,0.9463220675944334,0.9110047846889953,0.9556823237147816,0.9783449342614076,0.990602975724354,0.9663865546218487,0.9980413114684819
LR,0.9154552336964802,0.8949501185188914,0.9449630091270959,0.9404125286478228,0.961009749924051,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8471760797342193,0.7544378698224852,0.9659090909090909,0.9383734941255055,0.9239766081871345,0.9414101290963257,0.907177033492823,0.9469897626559811,0.9752130131680867,0.9890023566378633,0.9618029029793735,0.9976659929906659
LR,0.9153768931077545,0.8948196962857115,0.9451533244876898,0.9407944996180291,0.9596761101708418,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_2']",0.845771144278607,0.7522123893805309,0.9659090909090909,0.9357609188374763,0.9243533430941923,0.9432270916334662,0.9062200956937799,0.9455602739913843,0.9760061919504643,0.9890196078431372,0.9633307868601986,0.9977071376836645
LR,0.9146060117639084,0.8942257738764852,0.9439550301779404,0.9404125286478228,0.9601538750457784,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8438538205980066,0.7514792899408284,0.9621212121212122,0.9370088808739189,0.9239766081871345,0.9414101290963257,0.907177033492823,0.9457750069490035,0.975987606506584,0.9897879025923016,0.9625668449197861,0.9976777373144126
LR,0.9144262782186984,0.8942998695351575,0.9426977649113871,0.9392666157372039,0.9592169308386911,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std']",0.8461538461538461,0.7574850299401198,0.9583333333333334,0.9301936993069853,0.9232254949299855,0.9317738791423001,0.9148325358851674,0.949688954082167,0.9738994935722634,0.9936406995230525,0.9549274255156608,0.9977681391269208
LR,0.9144083133742343,0.8943197867657542,0.9426334329585103,0.9392666157372039,0.9571616489045688,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8461538461538461,0.7574850299401198,0.9583333333333334,0.9221387447939634,0.9231512808119865,0.9326171875,0.9138755980861244,0.9514830165597378,0.9739198131568704,0.9928571428571429,0.9556913674560733,0.9978631853600052
LR,0.9140108221188797,0.8940655802245367,0.9417435076103806,0.9377387318563789,0.9578671570281668,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std']",0.8489932885906041,0.7620481927710844,0.9583333333333334,0.9328540809004138,0.9215214251324025,0.9273255813953488,0.9157894736842105,0.9432994364091988,0.9715177526336325,0.992822966507177,0.9511077158135982,0.9974479537748882
LR,0.9138893046808386,0.8937906862366537,0.9421241383315686,0.9385026737967914,0.9560605523150224,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_skew', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8461538461538461,0.7574850299401198,0.9583333333333334,0.9240123096606502,0.9231512808119865,0.9326171875,0.9138755980861244,0.9465510967050664,0.9723627870766836,0.9912698412698413,0.9541634835752483,0.9976182505793503
LR,0.9136168398793219,0.8933616003476298,0.9420624868767283,0.9381207028265852,0.9597715658024599,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_skew', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std']",0.8461538461538461,0.7574850299401198,0.9583333333333334,0.9388128681075861,0.9220404234841193,0.9273959341723137,0.9167464114832536,0.9429548606936979,0.97265625,0.9952038369304557,0.9511077158135982,0.9975469686060956
LR,0.9133082381604126,0.8927769594069502,0.9427594163662275,0.9396485867074102,0.960073115301478,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_skew', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.840531561461794,0.7485207100591716,0.9583333333333334,0.9299296294604931,0.9238972370334464,0.9361493123772102,0.9119617224880383,0.9523478182790308,0.9754959159859977,0.993660855784469,0.957983193277311,0.99794189816491
LR,0.9132832529761507,0.8931880547572503,0.9420677361853832,0.9404125286478228,0.9633244807053657,"{'C': 1.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_2']",0.8386023294509152,0.7477744807121661,0.9545454545454546,0.9374913579376227,0.9241245136186771,0.9396636993076162,0.9090909090909091,0.9544031327591755,0.97712291585886,0.9921259842519685,0.9625668449197861,0.9980789514192986
LR,0.913258307953325,0.8929368226997155,0.9419338229709747,0.9381207028265852,0.9585477999871866,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_skew', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std']",0.8447412353923205,0.755223880597015,0.9583333333333334,0.9336974181266208,0.9223347805113362,0.9299610894941635,0.9148325358851674,0.9444084819177927,0.9726989079563183,0.9936254980079682,0.9526355996944232,0.9975374999171466
LR,0.9130609197366931,0.8928580798902276,0.941424528344033,0.9373567608861727,0.9558864109589601,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8461538461538461,0.7574850299401198,0.9583333333333334,0.9247242332476965,0.9218900675024108,0.9290573372206026,0.9148325358851674,0.9453776242995549,0.9711388455538221,0.9920318725099602,0.9511077158135982,0.9975573753296286
LR,0.9129423940824776,0.8940598146271905,0.938907205625472,0.9385026737967914,0.9554759586480525,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8431703204047217,0.7598784194528876,0.946969696969697,0.9247355604740611,0.9220338983050848,0.9333333333333333,0.9110047846889953,0.9439649582012197,0.9736229635376261,0.9889676910953507,0.9587471352177235,0.9977273572688765
LR,0.9124212619879475,0.8918349456810996,0.9419311424729382,0.9385026737967914,0.9619884002715402,"{'C': 10.0, 'solver': 'lbfgs'}","['NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.840531561461794,0.7485207100591716,0.9583333333333334,0.9327390282065535,0.9220338983050848,0.9333333333333333,0.9110047846889953,0.955153546603939,0.9746983261969638,0.9936507936507937,0.9564553093964858,0.9980726260041283
LR,0.9124059826784127,0.8916888138757416,0.9422501217392858,0.9388846447669977,0.9615559717027328,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_skew', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std']",0.8391376451077943,0.7463126843657817,0.9583333333333334,0.9361629836082149,0.9230024213075061,0.9343137254901961,0.9119617224880383,0.9506717954811955,0.9750778816199377,0.9944400317712471,0.9564553093964858,0.997833136018788
LR,0.9123463309045262,0.8916922616626696,0.9421214578335322,0.9388846447669977,0.9608413539323042,"{'C': 10.0, 'solver': 'lbfgs'}","['NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_2']",0.8391376451077943,0.7463126843657817,0.9583333333333334,0.9331496061733581,0.9224054316197866,0.9351032448377581,0.9100478468899521,0.9514014216131279,0.9754959159859977,0.993660855784469,0.957983193277311,0.9979730340104267
LR,0.9122570304355948,0.8918765547186079,0.9411672005325257,0.9373567608861727,0.9585357128774034,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std', 'wav_approx_std']",0.8433333333333334,0.7529761904761905,0.9583333333333334,0.9344326190372336,0.9206963249516441,0.9305962854349951,0.9110047846889953,0.943622414568208,0.9727414330218068,0.9920571882446386,0.9541634835752483,0.9975521050267686
LR,0.9121742413829402,0.8919191574617891,0.9411134788843767,0.9388846447669977,0.9631295325760497,"{'C': 10.0, 'solver': 'lbfgs'}","['NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8386023294509152,0.7477744807121661,0.9545454545454546,0.9359861629450525,0.9224054316197866,0.9351032448377581,0.9100478468899521,0.9553049649667247,0.9755149630781189,0.992879746835443,0.9587471352177235,0.9980974698163719
LR,0.9120392185294574,0.8920882188431319,0.9408667613775973,0.9404125286478228,0.9622688405904803,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std', 'mfcc_2']",0.8338870431893688,0.742603550295858,0.9507575757575758,0.9341389727490471,0.9239024390243903,0.9422885572139303,0.9062200956937799,0.9545659419574504,0.978328173374613,0.9913725490196078,0.9656226126814362,0.9981016070649439
LR,0.9120305718513779,0.891523200727503,0.9411055490776853,0.9369747899159664,0.9595182049537984,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std']",0.8433333333333334,0.7529761904761905,0.9583333333333334,0.9387341378257944,0.9204819277108434,0.9271844660194175,0.9138755980861244,0.9423230275640755,0.972276454509957,0.994408945686901,0.9511077158135982,0.9974974494715252
LR,0.9119881241931198,0.8937592299853044,0.9367009323665672,0.9381207028265852,0.9547314000793219,"{'C': 10.0, 'solver': 'lbfgs'}","['mfcc_mean', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8406779661016949,0.7607361963190185,0.9393939393939394,0.9229464599089514,0.9216634429400387,0.9315738025415444,0.9119617224880383,0.9435459445962536,0.9736229635376261,0.9889676910953507,0.9587471352177235,0.9977017957327606
