Algorithm,F1_Macro_Global,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Best_Hyperparameters,Features_List,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC
RF,0.9282030216750652,0.9139403508771929,0.9457636962280925,0.9484339190221543,0.9587701501772342,"{'n_estimators': 100, 'max_depth': 10}","['spec_skew', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8732394366197183,0.8157894736842105,0.9393939393939394,0.9179405005838008,0.9359886201991465,0.9276315789473685,0.9444976076555024,0.9605542924132171,0.9753810082063306,0.9984,0.9533995416348358,0.9978156575346847
RF,0.9271142671361496,0.9139478572881149,0.9431767922479996,0.9472880061115355,0.9562007108696301,"{'n_estimators': 100, 'max_depth': 10}","['spec_skew', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8723404255319149,0.82,0.9318181818181818,0.9107625888617291,0.9348441926345609,0.9226467847157502,0.9473684210526315,0.9602985765477011,0.9741581832419733,0.9991967871485944,0.9503437738731857,0.9975409671994597
RF,0.9268888603304216,0.9121032348805996,0.9451767788455095,0.946524064171123,0.9536436463037224,"{'n_estimators': 50, 'max_depth': None}","['mfcc_mean', 'spec_skew', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8736842105263158,0.8137254901960784,0.9431818181818182,0.8961812129300956,0.9339039467427485,0.9281663516068053,0.939712918660287,0.9672321474987912,0.9730784237222005,0.9944178628389154,0.9526355996944232,0.9975175784822806
RF,0.9268756525186687,0.9136256410600065,0.9429300747412203,0.9488158899923606,0.9601841786977888,"{'n_estimators': 50, 'max_depth': 10}","['spec_skew', 'spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'mfcc_2']",0.8672566371681416,0.813953488372093,0.928030303030303,0.9168412578829815,0.936372269705603,0.9293119698397738,0.9435406698564593,0.9655404978290427,0.9769980506822612,0.9976114649681529,0.9572192513368984,0.9981707803813421
RF,0.9267551262287137,0.9129080437223219,0.9438551816260795,0.9453781512605042,0.9604386470809785,"{'n_estimators': 100, 'max_depth': 10}","['spec_kurtosis', 'mfcc_1', 'wav_detail_lvl5_std', 'wav_approx_std', 'mfcc_2']",0.8763250883392226,0.8211920529801324,0.9393939393939394,0.9317315365183205,0.9325789721829326,0.9191449814126395,0.9464114832535885,0.9527426602839132,0.9713613181639859,0.9983870967741936,0.9457601222307105,0.996841744440702
RF,0.926000282571787,0.9116607903940643,0.9438551816260795,0.9453781512605042,0.9558438458809526,"{'n_estimators': 100, 'max_depth': 10}","['spec_skew', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8732394366197183,0.8157894736842105,0.9393939393939394,0.9084214369725893,0.9330188679245283,0.92,0.9464114832535885,0.961412247045969,0.9717425431711146,0.9991928974979822,0.9457601222307105,0.9976978536242997
RF,0.9259782199480964,0.9108757029664051,0.9449248120300752,0.9457601222307105,0.9571045972930684,"{'n_estimators': 100, 'max_depth': 10}","['spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std', 'wav_approx_std']",0.87215411558669,0.8110749185667753,0.9431818181818182,0.9121459050686368,0.9328287606433302,0.9223573433115061,0.9435406698564593,0.9615149082835497,0.9729517836142689,0.999194847020934,0.948051948051948,0.9976529785270185
RF,0.9259782199480964,0.9108757029664051,0.9449248120300752,0.9457601222307105,0.9571095584681607,"{'n_estimators': 100, 'max_depth': 10}","['spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'wav_approx_std']",0.87215411558669,0.8110749185667753,0.9431818181818182,0.9121600636636052,0.9328287606433302,0.9223573433115061,0.9435406698564593,0.9615156332138584,0.9729517836142689,0.999194847020934,0.948051948051948,0.9976529785270185
RF,0.9257105895082547,0.9097993429779795,0.9457908362707124,0.9446142093200917,0.9468138013052808,"{'n_estimators': 50, 'max_depth': None}","['spec_kurtosis', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_std', 'wav_approx_std']",0.8745644599303136,0.8096774193548387,0.9507575757575758,0.8818724112570295,0.9311163895486936,0.9245283018867925,0.937799043062201,0.962120115590702,0.9714509190457568,0.9951923076923077,0.9488158899923606,0.996448877068111
RF,0.9254721684570164,0.9198346195034169,0.9320539539579787,0.9491978609625669,0.9531189732284915,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_mean', 'spec_skew', 'NDSI', 'mfcc_1', 'mfcc_var', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8613678373382625,0.8411552346570397,0.8825757575757576,0.9012931504632412,0.9377049180327869,0.918348623853211,0.9578947368421052,0.9600178732616791,0.97734375,1.0,0.9556913674560733,0.9980458959605538
RF,0.925310064634786,0.9130537200724426,0.9401422450958054,0.9457601222307105,0.9591220733929952,"{'n_estimators': 100, 'max_depth': 10}","['spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_std', 'wav_approx_std', 'mfcc_2']",0.8698752228163993,0.8215488215488216,0.9242424242424242,0.9183708744140439,0.9330819981149858,0.9192200557103064,0.9473684210526315,0.961346575340487,0.972972972972973,0.9983922829581994,0.9488158899923606,0.9976487704244545
RF,0.925310064634786,0.9130537200724426,0.9401422450958054,0.9457601222307105,0.9591220733929952,"{'n_estimators': 100, 'max_depth': 10}","['spec_kurtosis', 'NDSI', 'mfcc_1', 'wav_detail_lvl5_std', 'mfcc_var', 'wav_approx_std', 'mfcc_2']",0.8698752228163993,0.8215488215488216,0.9242424242424242,0.9183708744140439,0.9330819981149858,0.9192200557103064,0.9473684210526315,0.961346575340487,0.972972972972973,0.9983922829581994,0.9488158899923606,0.9976487704244545
RF,0.9253012411274136,0.9092049316797172,0.9456621723649588,0.9446142093200917,0.9501417432039228,"{'n_estimators': 100, 'max_depth': None}","['spec_kurtosis', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'wav_approx_std']",0.8730434782608696,0.8070739549839229,0.9507575757575758,0.888853142900143,0.9309852451213708,0.9261363636363636,0.9358851674641149,0.9647225777618036,0.971875,0.9944044764188649,0.9503437738731857,0.9968495089498215
RF,0.9252421294504037,0.9127077284961675,0.9402549377007582,0.944996180290298,0.9562337638635929,"{'n_estimators': 50, 'max_depth': None}","['mfcc_mean', 'spec_skew', 'spec_kurtosis', 'NDSI', 'wav_detail_lvl5_std', 'mfcc_var', 'mfcc_std', 'wav_approx_std']",0.8718861209964412,0.8221476510067114,0.928030303030303,0.906595624608876,0.9327014218009478,0.923943661971831,0.9416267942583733,0.965270300166575,0.9711388455538221,0.9920318725099602,0.9511077158135982,0.996835366815328
