Algoritmo,F1_Macro_Global,F1_Dry,F1_Macro_Wet,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
NUSVC,0.4538559001373005,0.9002386634844869,0.342260209300504,0.47975052804324847,0.4583447376995764,0.659217877094972,0.4693212603724574,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_std', 'mfcc_5']",0.36444444444444446,0.44086021505376344,0.3106060606060606,0.3702208146175718,0.41420118343195267,0.5932203389830508,0.3181818181818182,0.5269347181740222,0.41153342070773263,0.37203791469194314,0.4604105571847507,0.31808166634278984,0.9002386634844869,0.853393665158371,0.9525252525252526,0.851221810003404,0.17886178861788618,0.13924050632911392,0.25,0.28014729272449923
NUSVC,0.44851822715864265,0.9006560449859419,0.33548377270181784,0.4640209938321716,0.4559107201042686,0.659725749111224,0.4581712544262664,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.36363636363636365,0.4385026737967914,0.3106060606060606,0.4525446147733394,0.3784786641929499,0.4880382775119617,0.3090909090909091,0.42419148054644407,0.4152046783625731,0.4139941690962099,0.41642228739002934,0.3437059000766897,0.9006560449859419,0.840034965034965,0.9707070707070707,0.9126953962751226,0.18461538461538463,0.13953488372093023,0.2727272727272727,0.15771888045973617
NUSVC,0.4454386658078645,0.8986327204148986,0.33214015215610604,0.45060204849190955,0.450584881068752,0.6566785170137125,0.43702660384999953,"kernel='poly', degree=3, nu=0.5","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl4_std', 'rms_mean', 'mae', 'mfcc_std', 'mfcc_5']",0.4541984732824427,0.4576923076923077,0.45075757575757575,0.4448433407417767,0.45484949832775917,0.5074626865671642,0.4121212121212121,0.4313304769377968,0.26161790017211706,0.31666666666666665,0.22287390029325513,0.2798142837289598,0.8986327204148986,0.8426171529619806,0.9626262626262626,0.9376695043227771,0.15789473684210525,0.12857142857142856,0.20454545454545456,0.09147541351868733
NUSVC,0.44484791843711174,0.9002341920374707,0.3310013500370219,0.45174323108678954,0.4522401433691757,0.6521076688674454,0.444254791429755,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'mfcc_3', 'wav_detail_lvl4_std', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.35728952772073924,0.3901345291479821,0.32954545454545453,0.37938992253232545,0.41114982578397213,0.48360655737704916,0.3575757575757576,0.406230954146688,0.33707865168539325,0.3723404255319149,0.30791788856304986,0.32068172419504265,0.9002341920374707,0.8393013100436681,0.9707070707070707,0.9097987299082686,0.2184873949579832,0.17333333333333334,0.29545454545454547,0.20517262636645034
NUSVC,0.44309287967827304,0.9004694835680751,0.3287487287058225,0.45372410197475704,0.4518947539915281,0.6551549009649569,0.4800686401836097,"kernel='poly', degree=3, nu=0.5","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mae', 'mfcc_5']",0.3333333333333333,0.36486486486486486,0.3068181818181818,0.38512460638246654,0.4722222222222222,0.5528455284552846,0.4121212121212121,0.47314819396964575,0.3355263157894737,0.38202247191011235,0.2991202346041056,0.3140466872837121,0.9004694835680751,0.8412280701754385,0.9686868686868687,0.9301282478850534,0.17391304347826086,0.1276595744680851,0.2727272727272727,0.29789546539717077
NUSVC,0.4415753826825455,0.897079942556247,0.32769924271412004,0.45042155598035105,0.45436624307592055,0.6444895886236668,0.4415147475564412,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.32962138084632514,0.4,0.2803030303030303,0.35671481919910586,0.4084507042253521,0.48739495798319327,0.3515151515151515,0.4662501980156331,0.3683453237410072,0.3615819209039548,0.375366568914956,0.34633019623486144,0.897079942556247,0.8525932666060054,0.9464646464646465,0.8541790754842331,0.20437956204379562,0.15053763440860216,0.3181818181818182,0.18409944884837257
NUSVC,0.4392342398081608,0.90014064697609,0.32400763801617855,0.45531455079742933,0.4467204301075268,0.6510919248349416,0.43882271012778373,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'mfcc_3', 'mfcc_1', 'mae', 'mfcc_std', 'mfcc_5']",0.3811659192825112,0.46703296703296704,0.32196969696969696,0.39124544436703235,0.35687732342007433,0.46153846153846156,0.2909090909090909,0.4004260336820387,0.37337192474674386,0.36857142857142855,0.3782991202346041,0.3266788096938999,0.90014064697609,0.8398950131233596,0.9696969696969697,0.9116304327042681,0.18461538461538463,0.13953488372093023,0.2727272727272727,0.16413283019167998
NUSVC,0.4386642255946911,0.9007633587786259,0.3231394422987074,0.44825833292952755,0.44466601498859565,0.6485525647536821,0.4440424311418233,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_1', 'mfcc_std', 'mfcc_5']",0.3014256619144603,0.32599118942731276,0.2803030303030303,0.34183582003875634,0.44964028776978415,0.5530973451327433,0.3787878787878788,0.42383224674010317,0.36826347305389223,0.3761467889908257,0.36070381231671556,0.3293437930261555,0.9007633587786259,0.8535262206148282,0.9535353535353536,0.8702133906464368,0.1732283464566929,0.13253012048192772,0.25,0.2549869052576645
NUSVC,0.43721106537936505,0.9005137786081271,0.3213853870721746,0.44880909713971207,0.44509938090583245,0.6526155408836973,0.42351491584490947,"kernel='poly', degree=3, nu=0.5","['mfcc_6', 'wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_5']",0.4054982817869416,0.3710691823899371,0.44696969696969696,0.4067317171885111,0.4259927797833935,0.5267857142857143,0.3575757575757576,0.41196060676710317,0.27223230490018147,0.35714285714285715,0.21994134897360704,0.3050814913476251,0.9005137786081271,0.8375325803649001,0.9737373737373738,0.8976535165053703,0.18181818181818182,0.15151515151515152,0.22727272727272727,0.09614724741593741
NUSVC,0.434400072916653,0.9012229539040452,0.31769435266980495,0.4382307066723176,0.4471472792440535,0.6480446927374302,0.4462296671446338,"kernel='poly', degree=3, nu=0.5","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mae', 'mfcc_std', 'mfcc_5']",0.38823529411764707,0.4024390243902439,0.375,0.37291525319539065,0.44155844155844154,0.4755244755244755,0.4121212121212121,0.3916187876004742,0.25493716337522443,0.3287037037037037,0.20821114369501467,0.2891591648011328,0.9012229539040452,0.8433098591549296,0.9676767676767677,0.9342991186526198,0.18604651162790697,0.1411764705882353,0.2727272727272727,0.2431560114735512
