Algoritmo,F1_Macro_Global,F1_Dry,F1_Macro_Wet,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
SGD,0.45692273004049894,0.8789986091794159,0.3514037602557697,0.4753227761555718,0.45236559139784943,0.6663280853224988,0.4642032632169061,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'mfcc_std']",0.4192872117400419,0.4694835680751174,0.3787878787878788,0.43243588374089437,0.4506065857885615,0.5263157894736842,0.3939393939393939,0.5092633769052128,0.41707717569786534,0.47388059701492535,0.3724340175953079,0.37274876869270274,0.8789986091794159,0.8123393316195373,0.9575757575757575,0.9362461610071455,0.11864406779661017,0.0945945945945946,0.1590909090909091,0.07032212573857521
SGD,0.4565104240043012,0.877772534214252,0.35119489645181345,0.4928128322813885,0.47482893450635383,0.659217877094972,0.4666055184698913,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_std']",0.28888888888888886,0.5416666666666666,0.19696969696969696,0.45363314176528535,0.4793388429752066,0.5272727272727272,0.4393939393939394,0.5295742863063472,0.45021645021645024,0.4431818181818182,0.4574780058651026,0.3437480886428047,0.877772534214252,0.8237378210806023,0.9393939393939394,0.9309166593511367,0.18633540372670807,0.1282051282051282,0.3409090909090909,0.07515541628388236
SGD,0.45597369477720495,0.8783018867924528,0.3503916467733929,0.49179829265080627,0.47398989898989896,0.6587100050787201,0.46570101448288703,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_std']",0.292817679558011,0.5408163265306123,0.20075757575757575,0.45593065718261894,0.4750830564784053,0.5257352941176471,0.43333333333333335,0.5269682526373427,0.44733044733044736,0.4403409090909091,0.45454545454545453,0.3380457672424847,0.8783018867924528,0.8238938053097346,0.9404040404040404,0.930931960415742,0.18633540372670807,0.1282051282051282,0.3409090909090909,0.0766284349362467
SGD,0.4559544674336813,0.8754716981132076,0.35107515976379966,0.4923139382087898,0.47355490387748456,0.6571863890299644,0.46395912649488535,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'mfcc_1', 'mae']",0.2983425414364641,0.5510204081632653,0.20454545454545456,0.4493192526333202,0.4727272727272727,0.52,0.43333333333333335,0.5222072359634605,0.44573082489146165,0.44,0.45161290322580644,0.3411972373048262,0.8754716981132076,0.8212389380530973,0.9373737373737374,0.9315385021247822,0.1875,0.12931034482758622,0.3409090909090909,0.07553340444803758
SGD,0.45584817758980406,0.8754716981132076,0.35094229745895306,0.49257284140836227,0.4735353535353536,0.6571863890299644,0.4644841710169298,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mae']",0.2983425414364641,0.5510204081632653,0.20454545454545456,0.4568497077203878,0.4717607973421927,0.5220588235294118,0.4303030303030303,0.5212199995124509,0.44733044733044736,0.4403409090909091,0.45454545454545453,0.3370706875388853,0.8754716981132076,0.8212389380530973,0.9373737373737374,0.9313583818483733,0.18633540372670807,0.1282051282051282,0.3409090909090909,0.07592207846455185
SGD,0.45580447886345093,0.8798869524258125,0.3497838604728606,0.48959127034033256,0.47354024112088633,0.659217877094972,0.4633275281331536,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_std']",0.29201101928374656,0.5353535353535354,0.20075757575757575,0.4548139724413671,0.4829821717990275,0.519163763066202,0.45151515151515154,0.5185924494482188,0.4342688330871492,0.4375,0.4310850439882698,0.33181956135734547,0.8798869524258125,0.824360105913504,0.9434343434343434,0.9311194711999199,0.189873417721519,0.13157894736842105,0.3409090909090909,0.08029218621891675
SGD,0.455669404592535,0.876001885902876,0.35058628426494975,0.4780526548940413,0.46457803844900614,0.6582021330624682,0.46495882635831887,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl3_std', 'mfcc_1', 'mfcc_std']",0.3283582089552239,0.4782608695652174,0.25,0.43375543574428543,0.477124183006536,0.5177304964539007,0.44242424242424244,0.5157548460019483,0.44,0.4627831715210356,0.41935483870967744,0.37068261901177657,0.876001885902876,0.8213969938107869,0.9383838383838384,0.9311120177626642,0.1568627450980392,0.11009174311926606,0.2727272727272727,0.07348921327091934
SGD,0.4554833783410051,0.877772534214252,0.34991108937269333,0.4914657482673923,0.47363636363636363,0.6582021330624682,0.4651429064529545,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'mae', 'mfcc_std']",0.28888888888888886,0.5416666666666666,0.19696969696969696,0.4492199535235745,0.47603305785123967,0.5236363636363637,0.43636363636363634,0.5279698966716291,0.4460431654676259,0.4378531073446328,0.45454545454545453,0.341578547368949,0.877772534214252,0.8237378210806023,0.9393939393939394,0.9309076306737111,0.18867924528301888,0.13043478260869565,0.3409090909090909,0.07603850402690851
SGD,0.454953411560355,0.8810531264692054,0.34842848283314254,0.4842010797801165,0.4638579341805148,0.6607414931437278,0.4787889451648179,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_std']",0.3273657289002558,0.5039370078740157,0.24242424242424243,0.48897100625273215,0.46286701208981,0.5381526104417671,0.40606060606060607,0.5269952872579182,0.44963503649635034,0.4476744186046512,0.45161290322580644,0.3718681055819678,0.8810531264692054,0.8240985048372911,0.9464646464646465,0.9308845429144283,0.15384615384615385,0.10714285714285714,0.2727272727272727,0.07522578381704273
SGD,0.454786772071537,0.876001885902876,0.3494829936137022,0.48114293008128195,0.4718312153796025,0.6556627729812088,0.4606669973409162,"{'alpha': [0.001], 'penalty': ['l2']}","['mfcc_6', 'wav_detail_lvl3_std', 'mfcc_1', 'mae', 'mfcc_std']",0.29708222811671087,0.49557522123893805,0.21212121212121213,0.4419171586058087,0.47804878048780486,0.5157894736842106,0.44545454545454544,0.5127180497623897,0.4304932735426009,0.43902439024390244,0.4222873900293255,0.33811846883394137,0.876001885902876,0.8213969938107869,0.9383838383838384,0.9311925386999557,0.19230769230769232,0.13392857142857142,0.3409090909090909,0.07938877080248573
