Algoritmo,F1_Macro_Global,F1_Dry,F1_Macro_Wet,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Hiperparametros,Lista_Features,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Light_F1,Light_Precision,Light_Recall,Light_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC,Violent_F1,Violent_Precision,Violent_Recall,Violent_PR_AUC
XGB,0.44539619118921464,0.9092654824771963,0.3294288683672192,0.45162400745950027,0.46246660149885954,0.6510919248349416,0.42897674064119934,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mae', 'mfcc_5']",0.32409381663113007,0.37073170731707317,0.2878787878787879,0.3554567632377753,0.4112478031634446,0.4895397489539749,0.35454545454545455,0.40885644793695747,0.3796711509715994,0.3871951219512195,0.3724340175953079,0.32108534930126553,0.9092654824771963,0.8664226898444648,0.9565656565656566,0.9638861887231381,0.20270270270270271,0.14423076923076922,0.3409090909090909,0.0955989540068598
XGB,0.444862649803185,0.90104662226451,0.3308166566878538,0.451069734462472,0.46440697295536004,0.6455053326561706,0.4268236411588505,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mae', 'mfcc_5']",0.34051724137931033,0.395,0.29924242424242425,0.37606611311085064,0.40636042402826855,0.4872881355932203,0.3484848484848485,0.40539472514145736,0.34190620272314676,0.353125,0.3313782991202346,0.3129239701762298,0.90104662226451,0.8516187050359713,0.9565656565656566,0.942950409071587,0.23448275862068965,0.16831683168316833,0.38636363636363635,0.09678298829412764
XGB,0.444291261882368,0.9023696682464455,0.3297716602913486,0.45516522091627387,0.4610426849136527,0.6515997968511935,0.4371352589579736,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'mfcc_5']",0.32599118942731276,0.3894736842105263,0.2803030303030303,0.3748248454636968,0.4529616724738676,0.5327868852459017,0.3939393939393939,0.44306735256030844,0.34782608695652173,0.3696369636963696,0.3284457478005865,0.31018719969060626,0.9023696682464455,0.85,0.9616161616161616,0.9623305412001883,0.19230769230769232,0.13392857142857142,0.3409090909090909,0.09526635587506822
XGB,0.44412826991585197,0.8942172073342737,0.33160603556124646,0.4538887958616849,0.46459433040078196,0.6470289487049263,0.43499095294128665,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'mfcc_5']",0.33620689655172414,0.39,0.29545454545454547,0.38346754947588674,0.431858407079646,0.5191489361702127,0.3696969696969697,0.4186264113190402,0.3375796178343949,0.3693379790940767,0.31085043988269795,0.31216517278912487,0.8942172073342737,0.8364116094986808,0.9606060606060606,0.9623208735148551,0.22077922077922077,0.15454545454545454,0.38636363636363635,0.09837475760752662
XGB,0.4412229367185502,0.8989084005695301,0.3268015707558052,0.44982536115601696,0.46256924079504724,0.6444895886236668,0.424764243797733,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'wav_detail_lvl3_std', 'mae', 'mfcc_5']",0.3303964757709251,0.39473684210526316,0.2840909090909091,0.3658590280632885,0.4098939929328622,0.4915254237288136,0.3515151515151515,0.41042552713853975,0.3475609756097561,0.3619047619047619,0.3343108504398827,0.30928688275311494,0.8989084005695301,0.8478066248880931,0.9565656565656566,0.9442574963304308,0.21935483870967742,0.15315315315315314,0.38636363636363635,0.09399228470329082
XGB,0.44035567091665423,0.8968779564806055,0.3262250995256664,0.45156741669312817,0.4627370478983382,0.6449974606399187,0.4366147828966159,"{'max_depth': [5], 'learning_rate': [0.1]}","['wav_detail_lvl5_std', 'mfcc_3', 'wav_detail_lvl4_std', 'mfcc_5']",0.32671081677704195,0.3915343915343915,0.2803030303030303,0.3966913150952551,0.43462897526501765,0.5211864406779662,0.37272727272727274,0.4193876283075707,0.3375,0.3612040133779264,0.31671554252199413,0.3112590103199866,0.8968779564806055,0.8434163701067615,0.9575757575757575,0.9646163909454805,0.20606060606060606,0.14049586776859505,0.38636363636363635,0.09111956981478686
XGB,0.43984400096321147,0.9027645376549094,0.3241138667902869,0.44975892375507076,0.4593874226132291,0.6444895886236668,0.41793454289998044,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_5']",0.3524229074889868,0.42105263157894735,0.30303030303030304,0.3484863266819175,0.3978685612788632,0.48068669527896996,0.3393939393939394,0.4083933123025181,0.34234234234234234,0.3507692307692308,0.3343108504398827,0.30347694904929395,0.9027645376549094,0.8546931407942239,0.9565656565656566,0.9453999169547779,0.20382165605095542,0.1415929203539823,0.36363636363636365,0.08391620951139485
XGB,0.43934011147586177,0.9044890162368673,0.3230528852856104,0.45064714737586964,0.4630922124470511,0.6455053326561706,0.42102367821174747,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'wav_detail_lvl3_std', 'rms_mean', 'mfcc_1', 'mfcc_5']",0.3235955056179775,0.39779005524861877,0.2727272727272727,0.34431707760557717,0.3927927927927928,0.48444444444444446,0.3303030303030303,0.41241530847305746,0.3722304283604136,0.375,0.36950146627565983,0.317563702839919,0.9044890162368673,0.8577898550724637,0.9565656565656566,0.943586379227632,0.20359281437125748,0.13821138211382114,0.38636363636363635,0.087235922912552
XGB,0.4386957576817158,0.8840304182509505,0.3273620925394072,0.44148704005266415,0.45617302052785924,0.6348400203148806,0.43339285255209703,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'mae', 'mfcc_5']",0.3625,0.4027777777777778,0.32954545454545453,0.4208559633723062,0.4107744107744108,0.4621212121212121,0.3696969696969697,0.38729977041620023,0.3059581320450886,0.3392857142857143,0.2785923753665689,0.3020814740474295,0.8840304182509505,0.8348294434470377,0.9393939393939394,0.9434884925842316,0.2302158273381295,0.16842105263157894,0.36363636363636365,0.11323856234031726
XGB,0.4378793532125124,0.9065644465740297,0.3207080798721332,0.44928215282993544,0.45919517758227435,0.6460132046724225,0.4237787083429089,"{'max_depth': [5], 'learning_rate': [0.1]}","['mfcc_3', 'wav_detail_lvl3_std', 'wav_detail_lvl4_std', 'rms_mean', 'mfcc_std', 'mfcc_5']",0.30484988452655887,0.3905325443786982,0.25,0.34251388203271504,0.40707964601769914,0.48936170212765956,0.3484848484848485,0.41819856724013516,0.37337192474674386,0.36857142857142855,0.3782991202346041,0.31477041223252994,0.9065644465740297,0.8623518687329079,0.9555555555555556,0.9551783565536045,0.19753086419753085,0.13559322033898305,0.36363636363636365,0.08823232365556034
