Algorithm,F1_Macro_Global,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Best_Hyperparameters,Features_List,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC
RF,0.7518242469904601,0.7599349844312494,0.7456741497725105,0.808532249873032,0.8063119847160157,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'spec_centroid']",0.6109215017064846,0.6438848920863309,0.5811688311688312,0.6869389365897111,0.7272727272727273,0.7460815047021944,0.7093889716840537,0.753094894109247,0.9172785119921684,0.8898385565052231,0.9464646464646465,0.9789021234490891
RF,0.7470178763106398,0.7622471868846272,0.7369936681412091,0.8070086338242762,0.8101742415748733,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'zcr_mean', 'spec_centroid']",0.6028368794326241,0.6640625,0.551948051948052,0.6873028822003787,0.7230769230769231,0.7472178060413355,0.7004470938897168,0.7632906562777548,0.9151398264223722,0.8754612546125461,0.9585858585858585,0.979929186246486
RF,0.7453503708838897,0.7548896280814682,0.7383463834283507,0.8059928897917725,0.8028758399857227,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'spec_centroid']",0.5916955017301038,0.6333333333333333,0.5551948051948052,0.6767850572332035,0.7269961977186312,0.7422360248447205,0.7123695976154992,0.752224182626073,0.917359413202934,0.8890995260663507,0.9474747474747475,0.9796182800978915
RF,0.7426875365716632,0.7520565742741826,0.7357414898398504,0.8014220416455053,0.7878510613818438,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'wav_detail_lvl5_std', 'spec_centroid']",0.5941278065630398,0.6346863468634686,0.5584415584415584,0.6522816964101205,0.7239543726235741,0.7391304347826086,0.7093889716840537,0.7406406838764307,0.9099804305283757,0.8823529411764706,0.9393939393939394,0.9706308038589804
RF,0.7419810416161788,0.7557194501652451,0.7328953074854714,0.8070086338242762,0.7992078080182529,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'zcr_mean']",0.5780141843971631,0.63671875,0.5292207792207793,0.6567369227998647,0.7288006111535523,0.7476489028213166,0.7108792846497765,0.767967024296767,0.9191283292978208,0.8827906976744186,0.9585858585858585,0.9729194769581271
RF,0.7419639769750107,0.7799277102485882,0.7251441030129554,0.8090401218892839,0.7785009571244129,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10']",0.5753968253968254,0.7397959183673469,0.4707792207792208,0.651449906898104,0.7357664233576642,0.721030042918455,0.7511177347242921,0.7203708595316805,0.9147286821705426,0.8789571694599627,0.9535353535353536,0.9636821049434542
RF,0.7418974712969191,0.7669928644240572,0.727996593570364,0.8070086338242762,0.7890255030487284,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'wav_detail_lvl3_std', 'zcr_mean']",0.5853658536585366,0.6933333333333334,0.5064935064935064,0.6571750258488376,0.7230188679245283,0.7324159021406728,0.713859910581222,0.7477873012414287,0.9173076923076923,0.8752293577981651,0.9636363636363636,0.962114182055919
RF,0.7413629554788805,0.7555634974269921,0.7321540936295033,0.8070086338242762,0.8016770218253934,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'zcr_mean']",0.5719424460431655,0.6411290322580645,0.5162337662337663,0.6696631809583374,0.7306547619047619,0.7295690936106983,0.7317436661698957,0.7556419135873722,0.9214916584887144,0.8959923664122137,0.9484848484848485,0.9797259709304706
RF,0.7412378479602806,0.7443565449415274,0.7413080847507078,0.7963433214829863,0.7965346639886391,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl3_std']",0.6176,0.6088328075709779,0.6266233766233766,0.6753406492579246,0.6916334661354582,0.7431506849315068,0.646795827123696,0.7467860096616449,0.9144800777453839,0.8810861423220974,0.9505050505050505,0.9674773330463482
RF,0.7406892867325429,0.7551950055465264,0.7311944582436386,0.8054850177755206,0.8010192701706339,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'zcr_mean']",0.5770609318996416,0.644,0.5227272727272727,0.6646459360257038,0.7259036144578314,0.7336377473363774,0.7183308494783904,0.7601257077770847,0.919103313840156,0.8879472693032016,0.9525252525252526,0.978286166709113
RF,0.7404529420540102,0.7484196420251111,0.7346375543096855,0.8019299136617573,0.8013754607575736,"{'n_estimators': 100, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std']",0.5870307167235495,0.6187050359712231,0.5584415584415584,0.6669195384163953,0.7168073676132003,0.7389240506329114,0.6959761549925484,0.7659624156672744,0.9175207418252807,0.8876298394711992,0.9494949494949495,0.9712444281890513
RF,0.7399344542027982,0.7649558971621461,0.7260808711628384,0.8054850177755206,0.8028109720980009,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'spec_centroid']",0.5805243445692884,0.6858407079646017,0.5032467532467533,0.6723122266159058,0.7264437689969605,0.7410852713178294,0.7123695976154992,0.7672050852037045,0.9128352490421456,0.8679417122040073,0.9626262626262626,0.9689156044743927
RF,0.7397815910495132,0.7775126055249938,0.7223905723905725,0.8065007618080243,0.7814629336035789,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'zcr_mean']",0.5798816568047337,0.7386934673366834,0.4772727272727273,0.6358956223621948,0.7261904761904762,0.725111441307578,0.7272727272727273,0.7410096068166271,0.9132726401533301,0.8687329079307201,0.9626262626262626,0.9674835716319149
RF,0.7391601279959525,0.7653651903651904,0.7250699816273588,0.8054850177755206,0.7928950414086783,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'wav_detail_lvl3_std', 'spec_centroid']",0.5784499054820416,0.6923076923076923,0.4967532467532468,0.6596617373955751,0.7227648384673178,0.7287878787878788,0.7168405365126677,0.7517550122304247,0.9162656400384985,0.875,0.9616161616161616,0.9672683746000347
RF,0.7391101526623869,0.7659001122993829,0.7245905581971156,0.8039614017267649,0.784217074699994,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'wav_detail_lvl3_std', 'zcr_mean']",0.5849056603773585,0.6981981981981982,0.5032467532467533,0.6521338243441337,0.7191521574564723,0.7307692307692307,0.7078986587183308,0.7405728894855828,0.9132726401533301,0.8687329079307201,0.9626262626262626,0.9599445102702654
RF,0.7386420264423244,0.7783631036641853,0.7212188236778401,0.80802437785678,0.7741985138010913,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'wav_detail_lvl5_std', 'mfcc_10', 'zcr_mean']",0.5697211155378487,0.7371134020618557,0.4642857142857143,0.6424257838986275,0.7314540059347181,0.7282127031019202,0.7347242921013413,0.7246768610266974,0.9147509578544061,0.8697632058287796,0.9646464646464646,0.9554928964779492
RF,0.7386223222270075,0.7643607439727017,0.7248046428374297,0.8054850177755206,0.7815542685364435,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'wav_detail_lvl3_std']",0.5746691871455577,0.6877828054298643,0.4935064935064935,0.648974176352314,0.7250936329588015,0.7289156626506024,0.7213114754098361,0.7303879655514045,0.9161041465766635,0.8763837638376384,0.9595959595959596,0.9653006637056118
RF,0.738535249557331,0.7707838622545653,0.722958704925918,0.8075165058405281,0.7887942808388592,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_8', 'mfcc_10', 'wav_detail_lvl3_std', 'zcr_mean', 'spec_centroid']",0.566990291262136,0.7053140096618358,0.474025974025974,0.6487615081767453,0.7354260089686099,0.7376311844077961,0.7332339791356185,0.7455021368941482,0.913189448441247,0.869406392694064,0.9616161616161616,0.9721191974456839
RF,0.7375999866582316,0.758449975240398,0.7250380463495217,0.7938039614017267,0.7751187699078669,"{'n_estimators': 50, 'max_depth': 10}","['mfcc_6', 'mfcc_3', 'zcr_mean']",0.6126126126126126,0.6882591093117408,0.551948051948052,0.6429111504986444,0.704225352112676,0.7413509060955519,0.6706408345752608,0.7445413723592796,0.8959619952494062,0.8457399103139014,0.9525252525252526,0.9379037868656768
RF,0.7375031640124612,0.7751326667752848,0.7206175730765895,0.8059928897917725,0.7759280326819553,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'spec_centroid']",0.5702970297029702,0.7309644670050761,0.4675324675324675,0.636055590374814,0.7287509238728751,0.7228739002932552,0.7347242921013413,0.7227710494018873,0.9134615384615384,0.8715596330275229,0.9595959595959596,0.9689574582691646
RF,0.737096324772924,0.7625585411544317,0.7231716067781641,0.8029456576942611,0.8016397124020691,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'zcr_mean']",0.5789473684210527,0.6875,0.5,0.6736232267711311,0.7191521574564723,0.7307692307692307,0.7078986587183308,0.7629657527632044,0.913189448441247,0.869406392694064,0.9616161616161616,0.968330157671872
RF,0.7370190676388088,0.7757015305960042,0.7204949573802032,0.8070086338242762,0.7880938811095105,"{'n_estimators': 50, 'max_depth': 5}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std']",0.562874251497006,0.7305699481865285,0.4577922077922078,0.6737811366202039,0.7328467153284671,0.7181688125894135,0.7481371087928465,0.7243712964126804,0.915336236090953,0.8783658310120706,0.9555555555555556,0.9661292102956471
RF,0.7370078751657698,0.7636150172353204,0.7228175588831327,0.803453529710513,0.7876181918207829,"{'n_estimators': 100, 'max_depth': 5}","['mfcc_6', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'mfcc_10', 'wav_detail_lvl3_std', 'zcr_mean']",0.5757575757575758,0.6909090909090909,0.4935064935064935,0.6538953186780787,0.7218045112781954,0.7283763277693475,0.7153502235469449,0.7427144592961032,0.9134615384615384,0.8715596330275229,0.9595959595959596,0.9662447974881667
