Algorithm,F1_Macro_Global,Precision_Macro,Recall_Macro,Accuracy,PR_AUC_Macro,Best_Hyperparameters,Features_List,Heavy_F1,Heavy_Precision,Heavy_Recall,Heavy_PR_AUC,Moderate_F1,Moderate_Precision,Moderate_Recall,Moderate_PR_AUC,No Rain_F1,No Rain_Precision,No Rain_Recall,No Rain_PR_AUC
XGB,0.7489492359631905,0.7704421752072838,0.7360710934481426,0.7988826815642458,0.7830924102327047,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['mfcc_6', 'mfcc_3', 'zcr_mean']",0.6488413547237076,0.7193675889328063,0.5909090909090909,0.6527397649356517,0.7010309278350515,0.7491525423728813,0.6587183308494784,0.7624023526486049,0.8969754253308129,0.8428063943161634,0.9585858585858585,0.9341351131138578
XGB,0.7457498161797527,0.7671724398617145,0.7335158769584998,0.7958354494667343,0.7860990802248375,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'zcr_mean']",0.6466431095406361,0.7093023255813954,0.5941558441558441,0.6626223006531982,0.6977491961414791,0.7574171029668412,0.646795827123696,0.7423286649067411,0.8928571428571429,0.8347978910369068,0.9595959595959596,0.9533462751145734
XGB,0.7428856131445554,0.747901374683342,0.7405865840292071,0.7907567293042154,0.7894278663749779,"{'max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_3', 'mfcc_5', 'spec_centroid']",0.6437908496732027,0.6480263157894737,0.6396103896103896,0.6776732816929122,0.6867088607594937,0.7318718381112985,0.646795827123696,0.7364330443619239,0.8981571290009699,0.8638059701492538,0.9353535353535354,0.9541772730700975
XGB,0.7414596941591759,0.7585600656329325,0.7316151365331693,0.797866937531742,0.7671512504226666,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_6', 'mfcc_3', 'mfcc_10', 'zcr_mean', 'spec_centroid']",0.6212914485165794,0.6716981132075471,0.577922077922078,0.6378290043846351,0.6986410871302957,0.753448275862069,0.6512667660208644,0.7216522745157956,0.9044465468306528,0.8505338078291815,0.9656565656565657,0.941972472367569
XGB,0.7410051515683437,0.7608054826430276,0.7294506343686672,0.7968511934992382,0.7735208327625317,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_6', 'mfcc_3', 'mfcc_11', 'mfcc_10', 'zcr_mean', 'spec_centroid']",0.6252220248667851,0.6901960784313725,0.5714285714285714,0.6452986714274576,0.6942017474185862,0.7431972789115646,0.6512667660208644,0.7203475605350214,0.9035916824196597,0.8490230905861457,0.9656565656565657,0.9549162663251162
XGB,0.7383830048201242,0.7469832414176393,0.7350416735662636,0.7938039614017267,0.7959334230511889,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['mfcc_3', 'mfcc_5', 'mfcc_11', 'mfcc_10', 'wav_detail_lvl3_std', 'spec_centroid']",0.6217105263157895,0.63,0.6136363636363636,0.6710506843013984,0.686084142394822,0.7504424778761062,0.6318926974664679,0.7496835720322227,0.9073543457497613,0.8605072463768116,0.9595959595959596,0.9670660128199456
XGB,0.7373661839591857,0.7466617134806257,0.7317428776445171,0.7953275774504824,0.7875081825309156,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_3', 'mfcc_5', 'mfcc_11', 'spec_centroid']",0.6081081081081081,0.6338028169014085,0.5844155844155844,0.6738308530781195,0.6929755327545383,0.7365771812080537,0.65424739195231,0.7280007786012569,0.911014911014911,0.869605142332415,0.9565656565656566,0.9606929159133701
XGB,0.7372813881378061,0.7631285921973907,0.7229035081494097,0.7998984255967496,0.7687795335084407,"{'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 100}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'spec_centroid']",0.595903165735568,0.6986899563318777,0.5194805194805194,0.6208324557672104,0.7062451811873555,0.731629392971246,0.6825633383010432,0.72904500092445,0.9096958174904943,0.8590664272890485,0.9666666666666667,0.9564611438336619
XGB,0.737206917988984,0.7483236714026474,0.7295961173010355,0.8009141696292534,0.8026940201148424,"{'max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 50}","['mfcc_3', 'mfcc_5', 'mfcc_11', 'wav_detail_lvl5_std', 'wav_detail_lvl3_std', 'spec_centroid']",0.5818815331010453,0.6278195488721805,0.5422077922077922,0.6641325976338474,0.7112135176651305,0.7337559429477021,0.6900149031296572,0.7674805657271125,0.918525703200776,0.8833955223880597,0.9565656565656566,0.9764688969835669
XGB,0.736482728481676,0.7466997936883685,0.7327510073411713,0.7922803453529711,0.7973624940388827,"{'max_depth': 3, 'learning_rate': 0.1, 'n_estimators': 100}","['mfcc_6', 'mfcc_3', 'mfcc_5', 'mfcc_11', 'mfcc_10', 'wav_detail_lvl3_std', 'spec_centroid']",0.6237623762376238,0.6342281879194631,0.6136363636363636,0.6696725962598375,0.6791836734693878,0.7509025270758123,0.6199701937406855,0.7535715443670072,0.9065021357380162,0.8549686660698299,0.9646464646464646,0.9688433414898032
